station	latitude	longitude	year	date	time	temp	dwpt	rh	wdir	wspd	stnpresskpa
Penticton Airport	49.47000122	-119.6050034	2010	1/1/10	12:00:24 AM	32.72000122	-1.700000048	86	18	24	97.41000366
Penticton Airport	49.47000122	-119.6050034	2010	1/1/10	1:00:24 AM	33.25999832	-1.5	85	16	24	97.38999939
Penticton Airport	49.47000122	-119.6050034	2010	1/1/10	2:00:24 AM	33.61999893	-1.600000024	83	17	32	97.34999847
Penticton Airport	49.47000122	-119.6050034	2010	1/1/10	3:00:24 AM	34.52000046	-1.399999976	82	16	26	97.33999634
Penticton Airport	49.47000122	-119.6050034	2010	1/1/10	4:00:24 AM	34.88000107	-1.399999976	80	16	28	97.27999878
Penticton Airport	49.47000122	-119.6050034	2010	1/1/10	5:00:24 AM	33.97999954	-1.100000024	85	16	26	97.23000336
Penticton Airport	49.47000122	-119.6050034	2010	1/1/10	6:00:24 AM	34.15999985	-6.300000191	57	15	22	97.19999695
Penticton Airport	49.47000122	-119.6050034	2010	1/1/10	7:00:24 AM	33.61999893	-1.200000048	86	17	26	97.08999634
Penticton Airport	49.47000122	-119.6050034	2010	1/1/10	8:00:24 AM	33.97999954	-0.899999976	86	18	24	97.05999756
Penticton Airport	49.47000122	-119.6050034	2010	1/1/10	9:00:24 AM	33.97999954	-0.200000003	91	17	24	97.05999756
Penticton Airport	49.47000122	-119.6050034	2010	1/1/10	10:00:24 AM	36.31999969	-0.400000006	82	17	22	97.04000092
Penticton Airport	49.47000122	-119.6050034	2010	1/1/10	11:00:24 AM	37.04000092	-0.200000003	81	17	22	96.94999695
Penticton Airport	49.47000122	-119.6050034	2010	1/1/10	12:00:24 PM	35.77999878	0.200000003	87	17	28	96.86000061
Penticton Airport	49.47000122	-119.6050034	2010	1/1/10	1:00:24 PM	36.13999939	-0.400000006	82	18	26	96.80000305
Penticton Airport	49.47000122	-119.6050034	2010	1/1/10	2:00:24 PM	38.29999924	0.200000003	79	18	32	96.73999786
Penticton Airport	49.47000122	-119.6050034	2010	1/1/10	3:00:24 PM	37.93999863	0.300000012	81	19	35	96.76000214
Penticton Airport	49.47000122	-119.6050034	2010	1/1/10	4:00:24 PM	38.11999893	0.800000012	83	18	22	96.79000092
Penticton Airport	49.47000122	-119.6050034	2010	1/1/10	5:00:24 PM	38.47999954	0.600000024	81	20	39	96.79000092
Penticton Airport	49.47000122	-119.6050034	2010	1/1/10	6:00:24 PM	37.93999863	0.600000024	82	18	35	96.83999634
Penticton Airport	49.47000122	-119.6050034	2010	1/1/10	7:00:24 PM	38.65999985	0.200000003	78	19	41	96.90000153
Penticton Airport	49.47000122	-119.6050034	2010	1/1/10	8:00:24 PM	38.11999893	0.200000003	80	18	32	96.95999908
Penticton Airport	49.47000122	-119.6050034	2010	1/1/10	9:00:24 PM	37.40000153	0.5	84	17	22	97.01999664
Penticton Airport	49.47000122	-119.6050034	2010	1/1/10	10:00:24 PM	37.22000122	0.400000006	84	17	22	97.13999939
Penticton Airport	49.47000122	-119.6050034	2010	1/1/10	11:00:24 PM	36.86000061	0.699999988	87	17	22	97.22000122
Penticton Airport	49.47000122	-119.6050034	2010	1/2/10	12:00:24 AM	36.5	1.100000024	90	18	20	97.26000214
Penticton Airport	49.47000122	-119.6050034	2010	1/2/10	1:00:24 AM	36.13999939	1.100000024	92	16	19	97.30999756
Penticton Airport	49.47000122	-119.6050034	2010	1/2/10	2:00:24 AM	36.68000031	0.699999988	87	18	19	97.41999817
Penticton Airport	49.47000122	-119.6050034	2010	1/2/10	3:00:24 AM	36.5	0.600000024	87	18	24	97.54000092
Penticton Airport	49.47000122	-119.6050034	2010	1/2/10	4:00:24 AM	35.95999908	0.5	89	16	22	97.59999847
Penticton Airport	49.47000122	-119.6050034	2010	1/2/10	5:00:24 AM	37.40000153	0.300000012	82	18	24	97.63999939
Penticton Airport	49.47000122	-119.6050034	2010	1/2/10	6:00:24 AM	37.57999802	0.300000012	82	15	17	97.69999695
Penticton Airport	49.47000122	-119.6050034	2010	1/2/10	7:00:24 AM	37.40000153	0.300000012	82	17	22	97.76999664
Penticton Airport	49.47000122	-119.6050034	2010	1/2/10	8:00:24 AM	37.22000122	0.400000006	84	18	19	97.86000061
Penticton Airport	49.47000122	-119.6050034	2010	1/2/10	9:00:24 AM	37.40000153	0.5	84	18	26	97.94999695
Penticton Airport	49.47000122	-119.6050034	2010	1/2/10	10:00:24 AM	37.93999863	0.800000012	84	17	22	98.05000305
Penticton Airport	49.47000122	-119.6050034	2010	1/2/10	11:00:24 AM	37.93999863	0.600000024	82	18	17	98.06999969
Penticton Airport	49.47000122	-119.6050034	2010	1/2/10	12:00:24 PM	38.47999954	1	83	17	15	98.06999969
Penticton Airport	49.47000122	-119.6050034	2010	1/2/10	1:00:24 PM	39.38000107	0.899999976	80	18	9	98.05999756
Penticton Airport	49.47000122	-119.6050034	2010	1/2/10	2:00:24 PM	39.56000137	1.200000048	81	16	9	98.05999756
Penticton Airport	49.47000122	-119.6050034	2010	1/2/10	3:00:24 PM	38.47999954	1.200000048	84	17	6	98.08999634
