Date/Time	Year	Month	Day	Time	Data Quality	Temp (Â°C)	Temp Flag	Dew Point Temp (Â°C)	Dew Point Temp Flag	Rel Hum (%)	Rel Hum Flag	Wind Dir (10s deg)	Wind Dir Flag	Wind Spd (km/h)	Wind Spd Flag	Visibility (km)	Visibility Flag	Stn Press (kPa)	Stn Press Flag	Hmdx	Hmdx Flag	Wind Chill	Wind Chill Flag	Weather
12/1/15 0:00	2015	12	1	0:00	 	-5.7		-8		84		10		9				96.8				-10		NA
12/1/15 1:00	2015	12	1	1:00	 	-5.9		-8.3		83		9		8				96.82				-10		NA
12/1/15 2:00	2015	12	1	2:00	 	-5.9		-8.1		85		9		7				96.84				-9		NA
12/1/15 3:00	2015	12	1	3:00	 	-6.2		-8.7		82		10		8				96.85				-10		NA
12/1/15 4:00	2015	12	1	4:00	 	-6.9		-9.2		83		11		9				96.87				-11		NA
12/1/15 5:00	2015	12	1	5:00	 	-7.2		-9.4		84		10		11				96.91				-12		NA
12/1/15 6:00	2015	12	1	6:00	 	-7.4		-9.4		86		10		10				96.93				-12		NA
12/1/15 7:00	2015	12	1	7:00	 	-7		-9.2		85		11		9				96.95				-11		NA
12/1/15 8:00	2015	12	1	8:00	 	-7.1		-9.5		83		10		9				96.95				-11		NA
12/1/15 9:00	2015	12	1	9:00	 	-5.9		-8.7		81		10		8				96.95				-10		NA
12/1/15 10:00	2015	12	1	10:00	 	-4.7		-8.7		74		10		7				96.96				-8		NA
12/1/15 11:00	2015	12	1	11:00	 	-3.6		-8.7		68		13		6				96.91				-6		NA
12/1/15 12:00	2015	12	1	12:00	 	-2.5		-8.5		64		22		2				96.88				-3		NA
12/1/15 13:00	2015	12	1	13:00	 	-2		-8.3		62		19		6				96.83				-4		NA
12/1/15 14:00	2015	12	1	14:00	 	-2.5		-8.2		65		16		5				96.78				-4		NA
12/1/15 15:00	2015	12	1	15:00	 	-5.5		-8		82		17		3				96.71				-7		NA
12/1/15 16:00	2015	12	1	16:00	 	-4.8		-7.2		84		14		6				96.71				-8		NA
12/1/15 17:00	2015	12	1	17:00	 	-5.7		-7.6		87		10		3				96.66				-7		NA
12/1/15 18:00	2015	12	1	18:00	 	-6.2		-7.9		88		11		5				96.59				-9		NA
12/1/15 19:00	2015	12	1	19:00	 	-6.8		-8		91		0		1				96.56				-7		NA
12/1/15 20:00	2015	12	1	20:00	 	-6		-7.3		90		8		5				96.49				-8		NA
12/1/15 21:00	2015	12	1	21:00	 	-5.4		-7		89		10		7				96.4				-9		NA
12/1/15 22:00	2015	12	1	22:00	 	-5		-6.7		88		9		7				96.35				-8		NA
12/1/15 23:00	2015	12	1	23:00	 	-4.8		-6.4		88		9		6				96.31				-8		NA
12/2/15 0:00	2015	12	2	0:00	 	-4.7		-6.3		88		10		8				96.27				-8		NA
12/2/15 1:00	2015	12	2	1:00	 	-4.8		-5.4		96		8		4				96.27				-7		NA
12/2/15 2:00	2015	12	2	2:00	 	-4.7		-5.2		96		9		7				96.26				-8		NA
12/2/15 3:00	2015	12	2	3:00	 	-4.1		-4.7		96		10		9				96.24				-8		NA
12/2/15 4:00	2015	12	2	4:00	 	-4.4		-5.1		94		11		8				96.24				-8		NA
12/2/15 5:00	2015	12	2	5:00	 	-4.1		-5		93		10		11				96.31				-9		NA
12/2/15 6:00	2015	12	2	6:00	 	-4		-5		93		9		10				96.33				-8		NA
12/2/15 7:00	2015	12	2	7:00	 	-4.6		-5.6		92		11		10				96.39				-9		NA
12/2/15 8:00	2015	12	2	8:00	 	-4.3		-5.3		93		10		12				96.41				-9		NA
12/2/15 9:00	2015	12	2	9:00	 	-3.5		-4.8		90		10		13				96.45				-8		NA
