loc	latitude	longitude	date	year	time	jd	tempc	tempf	dwpt	rh	wdir	wspd	stnpresskpa
Kelowna Airport	49.02999878	-119.4649963	1/1/10	2010	12:00:24 AM	1	-3	26.60000038	-3.599999905	96	15	4	96.40000153
Kelowna Airport	49.02999878	-119.4649963	1/1/10	2010	1:00:24 AM	1	-3	26.60000038	-3.599999905	96		4	96.36000061
Kelowna Airport	49.02999878	-119.4649963	1/1/10	2010	2:00:24 AM	1	-3	26.60000038	-3.700000048	95		0	96.37999725
Kelowna Airport	49.02999878	-119.4649963	1/1/10	2010	3:00:24 AM	1	-6	21.20000076	-6.400000095	97	34	5	96.34999847
Kelowna Airport	49.02999878	-119.4649963	1/1/10	2010	4:00:24 AM	1	-5	23	-5.400000095	97	35	9	96.30000305
Kelowna Airport	49.02999878	-119.4649963	1/1/10	2010	5:00:24 AM	1	-3	26.60000038	-3.599999905	96	7	5	96.29000092
Kelowna Airport	49.02999878	-119.4649963	1/1/10	2010	6:00:24 AM	1	-3	26.60000038	-3.700000048	95	33	9	96.19999695
Kelowna Airport	49.02999878	-119.4649963	1/1/10	2010	7:00:24 AM	1	-3	26.60000038	-3.799999952	94	5	9	96.12000275
Kelowna Airport	49.02999878	-119.4649963	1/1/10	2010	8:00:24 AM	1	-2	28.39999962	-3	93		4	96.06999969
Kelowna Airport	49.02999878	-119.4649963	1/1/10	2010	9:00:24 AM	1	-2	28.39999962	-3	93	28	5	96.04000092
Kelowna Airport	49.02999878	-119.4649963	1/1/10	2010	10:00:24 AM	1	-2	28.39999962	-2.700000048	95		0	96
Kelowna Airport	49.02999878	-119.4649963	1/1/10	2010	11:00:24 AM	1	-1	30.20000076	-1.799999952	94		0	95.94000244
Kelowna Airport	49.02999878	-119.4649963	1/1/10	2010	12:00:24 PM	1	-1	30.20000076	-2.299999952	91		4	95.84999847
Kelowna Airport	49.02999878	-119.4649963	1/1/10	2010	1:00:24 PM	1	-0.5	31.10000038	-1.700000048	91		4	95.77999878
Kelowna Airport	49.02999878	-119.4649963	1/1/10	2010	2:00:24 PM	1	-0.5	31.10000038	-1.700000048	91		4	95.72000122
Kelowna Airport	49.02999878	-119.4649963	1/1/10	2010	3:00:24 PM	1	0	32	-1.5	90		0	95.70999908
Kelowna Airport	49.02999878	-119.4649963	1/1/10	2010	4:00:24 PM	1	-0.5	31.10000038	-1.399999976	93		4	95.69999695
Kelowna Airport	49.02999878	-119.4649963	1/1/10	2010	5:00:24 PM	1	-0.5	31.10000038	-1.700000048	91		4	95.72000122
Kelowna Airport	49.02999878	-119.4649963	1/1/10	2010	6:00:24 PM	1	1	33.79999924	-0.300000012	91	24	4	95.76999664
Kelowna Airport	49.02999878	-119.4649963	1/1/10	2010	7:00:24 PM	1	1	33.79999924	-0.200000003	92		4	95.83000183
Kelowna Airport	49.02999878	-119.4649963	1/1/10	2010	8:00:24 PM	1	1	33.79999924	-0.300000012	91		0	95.87999725
Kelowna Airport	49.02999878	-119.4649963	1/1/10	2010	9:00:24 PM	1	2	35.59999847	0.100000001	87	18	5	95.91000366
Kelowna Airport	49.02999878	-119.4649963	1/1/10	2010	10:00:24 PM	1	3	37.40000153	0.699999988	85		5	96.01000214
Kelowna Airport	49.02999878	-119.4649963	1/1/10	2010	11:00:24 PM	1	3	37.40000153	0.600000024	84	15	11	96.11000061
Kelowna Airport	49.02999878	-119.4649963	1/2/10	2010	12:00:24 AM	2	2	35.59999847	0.5	90		9	96.08999634
Kelowna Airport	49.02999878	-119.4649963	1/2/10	2010	1:00:24 AM	2	2	35.59999847	0.100000001	87	18	17	96.16999817
Kelowna Airport	49.02999878	-119.4649963	1/2/10	2010	2:00:24 AM	2	3	37.40000153	0.200000003	82	12	11	96.31999969
Kelowna Airport	49.02999878	-119.4649963	1/2/10	2010	3:00:24 AM	2	3	37.40000153	0.600000024	84	17	15	96.41999817
Kelowna Airport	49.02999878	-119.4649963	1/2/10	2010	4:00:24 AM	2	3	37.40000153	0.699999988	85	16	13	96.5
Kelowna Airport	49.02999878	-119.4649963	1/2/10	2010	5:00:24 AM	2	3	37.40000153	0.600000024	84	15	15	96.52999878
Kelowna Airport	49.02999878	-119.4649963	1/2/10	2010	6:00:24 AM	2	3	37.40000153	0.400000006	83	12	13	96.62999725
Kelowna Airport	49.02999878	-119.4649963	1/2/10	2010	7:00:24 AM	2	3	37.40000153	0.400000006	83	15	8	96.66999817
Kelowna Airport	49.02999878	-119.4649963	1/2/10	2010	8:00:24 AM	2	2	35.59999847	-0.800000012	82	13	11	96.75
Kelowna Airport	49.02999878	-119.4649963	1/2/10	2010	9:00:24 AM	2	1	33.79999924	-0.899999976	87	19	8	96.86000061
Kelowna Airport	49.02999878	-119.4649963	1/2/10	2010	10:00:24 AM	2	3	37.40000153	0.100000001	81	15	13	96.94999695
Kelowna Airport	49.02999878	-119.4649963	1/2/10	2010	11:00:24 AM	2	3	37.40000153	0.100000001	81	16	13	96.98999786
Kelowna Airport	49.02999878	-119.4649963	1/2/10	2010	12:00:24 PM	2	4	39.20000076	0.899999976	80	16	9	96.98999786
Kelowna Airport	49.02999878	-119.4649963	1/2/10	2010	1:00:24 PM	2	4	39.20000076	0.899999976	80	14	13	96.98999786
Kelowna Airport	49.02999878	-119.4649963	1/2/10	2010	2:00:24 PM	2	3	37.40000153	0.899999976	86	17	8	96.98999786
Kelowna Airport	49.02999878	-119.4649963	1/2/10	2010	3:00:24 PM	2	3	37.40000153	1.5	90	18	8	97.02999878
Kelowna Airport	49.02999878	-119.4649963	1/2/10	2010	4:00:24 PM	2	3	37.40000153	1.200000048	88	14	9	97.11000061
Kelowna Airport	49.02999878	-119.4649963	1/2/10	2010	5:00:24 PM	2	3	37.40000153	1.5	90		4	97.13999939
Kelowna Airport	49.02999878	-119.4649963	1/2/10	2010	6:00:24 PM	2	2	35.59999847	0.800000012	92	18	8	97.20999908
Kelowna Airport	49.02999878	-119.4649963	1/2/10	2010	7:00:24 PM	2	2	35.59999847	0.699999988	91	19	8	97.26000214
Kelowna Airport	49.02999878	-119.4649963	1/2/10	2010	8:00:24 PM	2	2	35.59999847	0.699999988	91	15	8	97.27999878
Kelowna Airport	49.02999878	-119.4649963	1/2/10	2010	9:00:24 PM	2	2	35.59999847	0.699999988	91	19	9	97.30999756
Kelowna Airport	49.02999878	-119.4649963	1/2/10	2010	10:00:24 PM	2	2	35.59999847	1	93	19	8	97.33000183
Kelowna Airport	49.02999878	-119.4649963	1/2/10	2010	11:00:24 PM	2	2	35.59999847	0.5	90	14	9	97.37000275
Kelowna Airport	49.02999878	-119.4649963	1/3/10	2010	12:00:24 AM	3	2	35.59999847	1	93	16	8	97.36000061
Kelowna Airport	49.02999878	-119.4649963	1/3/10	2010	1:00:24 AM	3	3	37.40000153	1.399999976	89	14	15	97.38999939
Kelowna Airport	49.02999878	-119.4649963	1/3/10	2010	2:00:24 AM	3	2	35.59999847	0.5	90		4	97.43000031
Kelowna Airport	49.02999878	-119.4649963	1/3/10	2010	3:00:24 AM	3	3	37.40000153	0.899999976	86	16	17	97.45999908
Kelowna Airport	49.02999878	-119.4649963	1/3/10	2010	4:00:24 AM	3	3	37.40000153	0.699999988	85	16	11	97.5
Kelowna Airport	49.02999878	-119.4649963	1/3/10	2010	5:00:24 AM	3	2	35.59999847	0.699999988	91	14	8	97.48999786
Kelowna Airport	49.02999878	-119.4649963	1/3/10	2010	6:00:24 AM	3	2	35.59999847	0.5	90	21	8	97.54000092
Kelowna Airport	49.02999878	-119.4649963	1/3/10	2010	7:00:24 AM	3	3	37.40000153	0.899999976	86	17	9	97.54000092
Kelowna Airport	49.02999878	-119.4649963	1/3/10	2010	8:00:24 AM	3	2	35.59999847	0.5	90	20	4	97.55000305
Kelowna Airport	49.02999878	-119.4649963	1/3/10	2010	9:00:24 AM	3	2	35.59999847	1	93	18	8	97.58000183
Kelowna Airport	49.02999878	-119.4649963	1/3/10	2010	10:00:24 AM	3	2	35.59999847	0.200000003	88	16	9	97.66000366
Kelowna Airport	49.02999878	-119.4649963	1/3/10	2010	11:00:24 AM	3	3	37.40000153	1.100000024	87	18	9	97.65000153
Kelowna Airport	49.02999878	-119.4649963	1/3/10	2010	12:00:24 PM	3	3	37.40000153	0.400000006	83	17	8	97.58999634
Kelowna Airport	49.02999878	-119.4649963	1/3/10	2010	1:00:24 PM	3	3	37.40000153	0.100000001	81	18	5	97.55999756
Kelowna Airport	49.02999878	-119.4649963	1/3/10	2010	2:00:24 PM	3	3	37.40000153	-0.100000001	80	17	8	97.58000183
Kelowna Airport	49.02999878	-119.4649963	1/3/10	2010	3:00:24 PM	3	3	37.40000153	0.699999988	85	20	4	97.56999969
Kelowna Airport	49.02999878	-119.4649963	1/3/10	2010	4:00:24 PM	3	3	37.40000153	-0.100000001	80	13	4	97.58000183
Kelowna Airport	49.02999878	-119.4649963	1/3/10	2010	5:00:24 PM	3	1	33.79999924	-0.800000012	88		4	97.58000183
Kelowna Airport	49.02999878	-119.4649963	1/3/10	2010	6:00:24 PM	3	1	33.79999924	-0.600000024	89		0	97.58000183
Kelowna Airport	49.02999878	-119.4649963	1/3/10	2010	7:00:24 PM	3	1	33.79999924	0	93	36	8	97.55999756
Kelowna Airport	49.02999878	-119.4649963	1/3/10	2010	8:00:24 PM	3	1	33.79999924	-0.600000024	89	3	5	97.55000305
Kelowna Airport	49.02999878	-119.4649963	1/3/10	2010	9:00:24 PM	3	1	33.79999924	0	93	4	4	97.55000305
Kelowna Airport	49.02999878	-119.4649963	1/3/10	2010	10:00:24 PM	3	1	33.79999924	-0.200000003	92		0	97.54000092
Kelowna Airport	49.02999878	-119.4649963	1/3/10	2010	11:00:24 PM	3	0	32	-0.699999988	95	21	4	97.51999664
Kelowna Airport	49.02999878	-119.4649963	1/4/10	2010	12:00:24 AM	4	0	32	-0.600000024	96		0	97.47000122
Kelowna Airport	49.02999878	-119.4649963	1/4/10	2010	1:00:24 AM	4	0	32	-0.400000006	97		0	97.43000031
Kelowna Airport	49.02999878	-119.4649963	1/4/10	2010	2:00:24 AM	4	0	32	-0.300000012	98		0	97.38999939
Kelowna Airport	49.02999878	-119.4649963	1/4/10	2010	3:00:24 AM	4	0	32	-0.300000012	98		0	97.34999847
Kelowna Airport	49.02999878	-119.4649963	1/4/10	2010	4:00:24 AM	4	0	32	-0.300000012	98		0	97.29000092
Kelowna Airport	49.02999878	-119.4649963	1/4/10	2010	5:00:24 AM	4	0	32	-0.300000012	98		0	97.23999786
Kelowna Airport	49.02999878	-119.4649963	1/4/10	2010	6:00:24 AM	4	0	32	-0.100000001	99	19	4	97.18000031
Kelowna Airport	49.02999878	-119.4649963	1/4/10	2010	7:00:24 AM	4	0	32	-0.100000001	99		0	97.16999817
