station	latitude	longitude	year	date	jd	tod	dtime	time	tempc	meantempf	temp	deltam1	delta2	delta3	delta4	maxtemp	mintemp	noerrors	er1	er2	er3	er4	er5	er6	er7	er8	er9	er10	dwpt	rh	wdir	wspd	stnpresskpa
Kelowna Airport	49.02999878	-119.4649963	2010	1/1/10	1	0	1	12:00:24 AM	-3	29.89999962	26.60000038		0	-5.399999619	-3.600000381	33.79999924	21.20000076	0	0	0	0	0	0	0	0	0	0	0	-3.599999905	96	15	4	96.40000153
Kelowna Airport	49.02999878	-119.4649963	2010	1/1/10	1	1	1.041666627	1:00:24 AM	-3	29.89999962	26.60000038	0	-5.399999619	-3.600000381	0	33.79999924	21.20000076	0	0	0	0	0	0	0	0	0	0	0	-3.599999905	96		4	96.36000061
Kelowna Airport	49.02999878	-119.4649963	2010	1/1/10	1	2	1.083333373	2:00:24 AM	-3	29.89999962	26.60000038	0	-3.600000381	0	0	33.79999924	21.20000076	0	0	0	0	0	0	0	0	0	0	0	-3.700000048	95		0	96.37999725
Kelowna Airport	49.02999878	-119.4649963	2010	1/1/10	1	3	1.125	3:00:24 AM	-6	29.89999962	21.20000076	-5.399999619	5.399999619	5.399999619	5.399999619	33.79999924	21.20000076	0	0	0	0	0	0	0	0	0	0	0	-6.400000095	97	34	5	96.34999847
Kelowna Airport	49.02999878	-119.4649963	2010	1/1/10	1	4	1.166666627	4:00:24 AM	-5	29.89999962	23	1.799999237	3.600000381	3.600000381	5.399999619	33.79999924	21.20000076	0	0	0	0	0	0	0	0	0	0	0	-5.400000095	97	35	9	96.30000305
Kelowna Airport	49.02999878	-119.4649963	2010	1/1/10	1	5	1.208333373	5:00:24 AM	-3	29.89999962	26.60000038	3.600000381	0	1.799999237	1.799999237	33.79999924	21.20000076	0	0	0	0	0	0	0	0	0	0	0	-3.599999905	96	7	5	96.29000092
Kelowna Airport	49.02999878	-119.4649963	2010	1/1/10	1	6	1.25	6:00:24 AM	-3	29.89999962	26.60000038	0	1.799999237	1.799999237	1.799999237	33.79999924	21.20000076	0	0	0	0	0	0	0	0	0	0	0	-3.700000048	95	33	9	96.19999695
Kelowna Airport	49.02999878	-119.4649963	2010	1/1/10	1	7	1.291666627	7:00:24 AM	-3	29.89999962	26.60000038	0	1.799999237	1.799999237	3.600000381	33.79999924	21.20000076	0	0	0	0	0	0	0	0	0	0	0	-3.799999952	94	5	9	96.12000275
Kelowna Airport	49.02999878	-119.4649963	2010	1/1/10	1	8	1.333333373	8:00:24 AM	-2	29.89999962	28.39999962	1.799999237	0	1.800001144	1.800001144	33.79999924	21.20000076	0	0	0	0	0	0	0	0	0	0	0	-3	93		4	96.06999969
Kelowna Airport	49.02999878	-119.4649963	2010	1/1/10	1	9	1.375	9:00:24 AM	-2	29.89999962	28.39999962	0	1.800001144	1.800001144	2.700000763	33.79999924	21.20000076	0	0	0	0	0	0	0	0	0	0	0	-3	93	28	5	96.04000092
Kelowna Airport	49.02999878	-119.4649963	2010	1/1/10	1	10	1.416666627	10:00:24 AM	-2	29.89999962	28.39999962	0	1.800001144	2.700000763	2.700000763	33.79999924	21.20000076	0	0	0	0	0	0	0	0	0	0	0	-2.700000048	95		0	96
Kelowna Airport	49.02999878	-119.4649963	2010	1/1/10	1	11	1.458333373	11:00:24 AM	-1	29.89999962	30.20000076	1.800001144	0.899999619	0.899999619	1.799999237	33.79999924	21.20000076	0	0	0	0	0	0	0	0	0	0	0	-1.799999952	94		0	95.94000244
Kelowna Airport	49.02999878	-119.4649963	2010	1/1/10	1	12	1.5	12:00:24 PM	-1	29.89999962	30.20000076	0	0.899999619	1.799999237	0.899999619	33.79999924	21.20000076	0	0	0	0	0	0	0	0	0	0	0	-2.299999952	91		4	95.84999847
Kelowna Airport	49.02999878	-119.4649963	2010	1/1/10	1	13	1.541666627	1:00:24 PM	-0.5	29.89999962	31.10000038	0.899999619	0.899999619	0	0	33.79999924	21.20000076	0	0	0	0	0	0	0	0	0	0	0	-1.700000048	91		4	95.77999878
Kelowna Airport	49.02999878	-119.4649963	2010	1/1/10	1	14	1.583333373	2:00:24 PM	-0.5	29.89999962	31.10000038	0	0	0	2.699998856	33.79999924	21.20000076	0	0	0	0	0	0	0	0	0	0	0	-1.700000048	91		4	95.72000122
Kelowna Airport	49.02999878	-119.4649963	2010	1/1/10	1	15	1.625	3:00:24 PM	0	29.89999962	32	0.899999619	-0.899999619	1.799999237	1.799999237	33.79999924	21.20000076	0	0	0	0	0	0	0	0	0	0	0	-1.5	90		0	95.70999908
Kelowna Airport	49.02999878	-119.4649963	2010	1/1/10	1	16	1.666666627	4:00:24 PM	-0.5	29.89999962	31.10000038	-0.899999619	2.699998856	2.699998856	2.699998856	33.79999924	21.20000076	0	0	0	0	0	0	0	0	0	0	0	-1.399999976	93		4	95.69999695
Kelowna Airport	49.02999878	-119.4649963	2010	1/1/10	1	17	1.708333373	5:00:24 PM	-0.5	29.89999962	31.10000038	0	2.699998856	2.699998856	4.499998093	33.79999924	21.20000076	0	0	0	0	0	0	0	0	0	0	0	-1.700000048	91		4	95.72000122
Kelowna Airport	49.02999878	-119.4649963	2010	1/1/10	1	18	1.75	6:00:24 PM	1	29.89999962	33.79999924	2.699998856	0	1.799999237	3.600002289	33.79999924	21.20000076	0	0	0	0	0	0	0	0	0	0	0	-0.300000012	91	24	4	95.76999664
Kelowna Airport	49.02999878	-119.4649963	2010	1/1/10	1	19	1.791666627	7:00:24 PM	1	29.89999962	33.79999924	0	1.799999237	3.600002289	3.600002289	33.79999924	21.20000076	0	0	0	0	0	0	0	0	0	0	0	-0.200000003	92		4	95.83000183
Kelowna Airport	49.02999878	-119.4649963	2010	1/1/10	1	20	1.833333373	8:00:24 PM	1	29.89999962	33.79999924	0	3.600002289	3.600002289	1.799999237	33.79999924	21.20000076	0	0	0	0	0	0	0	0	0	0	0	-0.300000012	91		0	95.87999725
Kelowna Airport	49.02999878	-119.4649963	2010	1/1/10	1	21	1.875	9:00:24 PM	2	29.89999962	35.59999847	1.799999237	1.800003052	0	0	33.79999924	21.20000076	0	0	0	0	0	0	0	0	0	0	0	0.100000001	87	18	5	95.91000366
Kelowna Airport	49.02999878	-119.4649963	2010	1/1/10	1	22	1.916666627	10:00:24 PM	3	29.89999962	37.40000153	1.800003052	-1.800003052	-1.800003052	0	33.79999924	21.20000076	0	0	0	0	0	0	0	0	0	0	0	0.699999988	85		5	96.01000214
Kelowna Airport	49.02999878	-119.4649963	2010	1/1/10	1	23	1.958333373	11:00:24 PM	3	29.89999962	37.40000153	0	-1.800003052	0	0	33.79999924	21.20000076	0	0	0	0	0	0	0	0	0	0	0	0.600000024	84	15	11	96.11000061
